userId,packageId,rating,Timestamp
2,49,4.0,1445714885
2,162,5.0,1445714851
4,21,4.0,964622830
4,46,4.0,986934498
12,38,5.0,1247263428
15,10,2.0,1510578088
16,35,3.0,1377476611
17,36,5.0,1305696756
17,47,3.5,1307262260
19,7,3.0,965712068
22,35,3.5,1268726085
22,97,2.0,1268727389
23,10,3.5,1107162895
29,103,5.0,1362016752
32,20,3.0,856736652
33,37,4.0,939718916
34,25,3.0,1162048144
42,34,3.0,996259605
47,77,3.0,1496205365
47,119,3.5,1496206905
48,29,4.5,1127128745
57,23,1.0,972175891
63,49,3.0,1443368334
68,4,3.0,1269122697
68,47,4.0,1275957686
68,136,3.0,1357084228
70,46,5.0,1355198718
70,98,5.0,1355198245
74,115,4.5,1207501696
75,9,2.0,1158989888
76,36,2.0,1439168151
78,95,4.5,1252574829
80,7,4.0,1377308567
83,59,4.0,1333170212
98,55,4.5,1532457794
102,1,5.0,840635033
104,104,2.5,1131231485
111,66,5.0,1516152890
119,112,3.5,1436007573
123,1,4.5,1447291940
129,81,3.5,1167376814
131,88,3.5,1349840319
135,59,4.0,1009693976
136,7,2.0,832450005
137,24,4.0,1204859407
137,82,5.0,1204863597
137,88,5.0,1204859478
143,110,2.0,1444880466
153,163,2.0,1525552523
159,127,5.0,1508641270
177,11,4.0,1435890491
177,66,4.5,1435537226
187,102,5.0,1161954440
200,41,4.0,1229889300
206,15,3.0,850763367
208,18,4.0,940639310
215,41,4.5,1260908635
220,1,3.5,1230061735
221,80,4.0,1119984091
232,123,4.5,1269572078
235,2,5.0,841422615
246,33,4.5,1354126039
249,107,5.0,1357778134
268,18,4.0,940235570
271,27,3.5,1234301729
274,1,4.0,1238050945
281,109,4.0,1183000177
288,76,3.0,1211229734
298,52,2.5,1466277467
305,81,3.0,1460303066
314,11,3.0,851785062
318,29,3.5,1346840924
319,37,5.0,1461351926
328,128,4.0,1494207178
332,135,3.5,1352674130
335,5,5.0,1261542334
339,18,4.5,1500604883
344,10,5.0,1420496646
344,124,3.5,1420497379
350,7,2.0,864941017
356,31,4.0,1232430467
357,118,4.0,1348628341
362,142,4.0,1530641097
368,17,4.0,975828964
376,54,4.0,1364994661
378,131,2.0,1445347912
380,5,2.0,1508170166
380,34,4.0,1495475763
380,48,4.0,1494803803
380,110,3.0,1494796925
381,130,5.0,1253162138
388,144,5.0,1386694283
398,16,5.0,1311207902
405,108,4.0,1298576695
414,157,3.5,1525562381
417,136,4.0,1529713889
422,43,4.0,995235768
424,41,4.5,1457843533
428,11,3.0,1111525117
432,65,4.0,1335139890
432,107,4.0,1328232721
434,40,3.5,1270606579
434,44,4.5,1270606766
434,58,3.0,1270604393
436,4,3.0,833530780
448,89,1.5,1328987046
452,52,3.0,1013394855
453,11,4.0,1005967049
459,52,3.5,1520233570
460,128,4.5,1359178236
462,38,4.5,1398516220
463,81,3.5,1145459443
464,23,5.0,1325590119
465,41,4.0,959896608
466,6,5.0,1439885221
466,135,4.5,1439915872
467,28,4.0,919671539
474,92,3.5,1144882786
479,68,5.0,1039367856
480,96,2.0,1179165230
483,15,4.0,1415579215
484,97,4.0,1342298305
489,5,1.5,1385823980
489,6,0.5,1385823692
489,122,4.0,1334170125
509,9,4.0,1436101370
510,2,4.0,1141159388
520,5,3.0,1326610296
520,17,5.0,1326609888
520,19,4.0,1326611215
522,7,0.5,1253342889
522,32,4.5,1253430147
523,121,5.0,1503127481
525,32,4.0,1476476389
527,6,4.0,1033175897
528,2,5.0,1391736104
534,163,3.5,1459787996
534,163,3.0,1459787996
538,36,3.5,1307846099
539,29,3.5,1332474425
540,20,3.5,1179107925
546,39,3.0,973588665
555,78,5.0,978841649
558,2,3.0,1035415930
560,31,4.0,1469653849
560,94,2.5,1469650301
567,119,2.0,1525288487
571,45,1.0,966900418
578,135,0.5,1300991503
580,39,3.5,1167792802
581,44,5.0,1447007136
583,135,4.0,1481474170
590,8,3.0,1266472615
599,9,2.5,1519369295
599,32,1.5,1519255520
599,90,3.5,1519370076
601,42,4.0,1521467860
601,66,4.5,1441639875
3,51,5.0,1306463603
4,18,2.0,986934832
7,46,1.5,1106713005
10,67,3.0,1455399329
16,79,3.5,1377477637
21,159,4.0,1500701517
21,165,0.5,1441394002
22,114,1.0,1268726712
23,25,3.5,1107163578
24,24,3.5,1458942002
25,177,5.0,1535470476
36,38,2.0,1100803683
42,3,3.0,996256573
42,18,4.0,996258536
45,9,4.0,951170727
45,13,4.0,951756950
57,26,4.0,972173465
61,16,4.0,1145532596
62,51,3.5,1521822833
71,22,3.0,864738453
73,39,5.0,1464267288
88,24,5.0,1331421382
105,59,4.0,1448196310
111,80,1.0,1519415307
111,88,4.0,1517440172
111,176,3.5,1518812200
129,105,4.5,1167378126
135,18,3.0,1009693305
137,80,3.5,1204859397
140,4,4.0,1085569730
140,63,3.5,1055092644
144,24,2.5,1137323966
147,20,5.0,1203267736
153,70,0.5,1525552590
160,38,1.0,993581327
169,48,4.5,1070250555
182,72,4.5,1069633734
184,164,2.0,1537107760
186,54,4.0,1031087950
189,135,4.5,1439465099
193,88,4.0,1435857256
196,2,3.5,1460954519
199,18,4.5,1095331617
199,61,4.5,1074006476
200,106,4.0,1229888244
215,128,4.0,1260908615
219,41,3.0,1195349382
222,4,3.5,1391374553
224,22,1.0,971813011
226,33,3.0,1201155538
231,126,5.0,1433089546
232,13,4.0,1076956366
232,19,1.5,1182910719
232,83,3.5,1234141908
233,18,4.0,1448816585
239,94,4.0,1221866527
241,65,3.5,1447536683
247,8,4.5,1467644152
247,81,4.0,1467644173
249,83,3.5,1415415447
256,67,4.5,1447001332
256,160,4.5,1446999970
257,76,3.0,1141625449
263,16,3.0,941591926
266,41,5.0,945670679
271,83,3.5,1234302610
272,147,3.5,1532266430
273,2,4.0,835861270
274,7,4.0,1197015496
274,29,3.0,1288866272
275,16,4.0,1049079449
279,110,4.0,1506394376
279,151,3.5,1506395605
282,63,3.0,1514069458
283,10,3.0,901228523
286,5,5.0,1119562836
292,101,4.5,1265679487
294,32,1.0,966597190
305,86,5.0,1516132323
307,55,3.5,1186172363
312,73,3.0,1043176272
313,24,3.0,1030558370
