event_time,event_type,packageId,categoryId,userId
2020-01-09 16:23:46 UTC,view,2,1487580008816836611,573359539
2020-01-10 10:15:56 UTC,view,2,1487580008816836611,599199696
2020-01-15 18:30:50 UTC,view,2,1487580008816836611,430063454
2020-01-01 14:35:15 UTC,view,3,1495705810729173554,420941238
2020-01-02 02:01:40 UTC,view,3,1487580005343953762,560030274
2020-01-01 11:12:00 UTC,view,4,1487580011853512836,524178540
2020-01-01 20:50:55 UTC,view,4,1487580011853512836,581262865
2020-01-03 07:45:46 UTC,view,4,1487580011853512836,393014221
2020-01-03 07:57:19 UTC,view,4,1487580011853512836,393014221
2020-01-03 10:45:37 UTC,view,4,1487580011853512836,596279540
2020-01-04 17:40:19 UTC,view,4,1487580011853512836,596839058
2020-01-04 17:53:49 UTC,purchase,4,1487580011853512836,557037291
2020-01-04 17:53:51 UTC,view,4,1487580011853512836,557037291
2020-01-09 04:39:17 UTC,view,4,1487580011853512836,598201379
2020-01-10 13:29:35 UTC,view,4,1487580011853512836,573738314
2020-01-10 14:30:56 UTC,view,4,1487580011853512836,573738314
2020-01-11 00:56:16 UTC,view,4,1487580011853512836,599441940
2020-01-11 07:47:23 UTC,view,4,1487580011853512836,416434429
2020-01-12 10:38:11 UTC,view,4,1487580011853512836,590521353
2020-01-12 10:38:44 UTC,purchase,4,1487580011853512836,590521353
2020-01-12 11:25:39 UTC,purchase,4,1487580011853512836,590521353
2020-01-12 12:57:24 UTC,view,4,1487580011853512836,557037291
2020-01-12 16:55:23 UTC,view,4,1487580011853512836,510548076
2020-01-13 11:53:03 UTC,view,4,1487580011853512836,354246068
2020-01-13 11:53:33 UTC,view,4,1487580011853512836,593294864
2020-01-13 12:00:40 UTC,view,4,1487580011853512836,354246068
2020-01-13 20:09:58 UTC,view,4,1487580011853512836,600770631
2020-01-07 07:41:39 UTC,view,5,1487580005461394279,558743008
2020-01-01 22:47:07 UTC,view,5,1487580012784648356,498633432
2020-01-01 22:47:07 UTC,view,5,1487580012784648356,498633432
2020-01-01 23:38:28 UTC,view,5,1487580012784648356,561355109
